Year "Rwanda" "Cambodia" "Zimbabwe" "Lesotho" "Botswana" "Swaziland" "South Africa" "Zambia" "Kenya" "Namibia"
1960 42.24929268 41.23202439 51.54246341 46.51070732 50.54773171 44.23378049 49.03629268 45.10980488 46.36241463 46.88039024
1961 42.5487561 41.35768293 51.91495122 46.99473171 50.90763415 44.53187805 49.42980488 45.4875122 47.013 47.49919512
1962 42.83770732 41.51743902 52.27790244 47.4022439 51.25502439 44.81795122 49.81329268 45.85365854 47.6522439 48.10109756
1963 43.11312195 41.70278049 52.62931707 47.7262439 51.59341463 45.10004878 50.1957561 46.20873171 48.2697561 48.68607317
1964 43.37053659 41.88560976 52.97165854 47.9712439 51.9287561 45.38965854 50.5817561 46.55768293 48.86109756 49.25714634
1965 43.60141463 42.0757561 53.30446341 48.1502439 52.27253659 45.7012439 50.97182927 46.9115122 49.4287561 49.8152439
1966 43.79726829 42.28946341 53.62770732 48.2827561 52.63570732 46.05329268 51.36302439 47.28326829 49.98168293 50.36478049
1967 43.95960976 42.47612195 53.94543902 48.39982927 53.0282439 46.45280488 51.74941463 47.68146341 50.53273171 50.90873171
1968 44.09146341 42.53968293 54.26014634 48.53092683 53.45763415 46.90526829 52.126 48.10612195 51.09082927 51.44904878
1969 44.19982927 42.36168293 54.57685366 48.69456098 53.92787805 47.41019512 52.49326829 48.5527561 51.65892683 51.98829268
1970 44.29078049 41.57119512 54.89858537 48.90821951 54.44346341 47.96163415 52.85068293 49.01641463 52.23302439 52.52717073
1971 44.36736585 39.73329268 55.22634146 49.17987805 55.00790244 48.54709756 53.19614634 49.49012195 52.80865854 53.06590244
1972 44.44360976 36.7572439 55.56309756 49.50402439 55.61273171 49.15112195 53.53363415 49.95534146 53.37736585 53.60312195
1973 44.5394878 32.81287805 55.91387805 49.87514634 56.2444878 49.7602439 53.87056098 50.39207317 53.93417073 54.13629268
1974 44.67495122 28.2584878 56.28417073 50.29370732 56.89370732 50.36943902 54.21341463 50.78178049 54.47858537 54.6647561
1975 44.8994878 23.88453659 56.68795122 50.76221951 57.54895122 50.97963415 54.57670732 51.11041463 55.01907317 55.18712195
1976 45.26709756 20.6565122 57.14317073 51.28314634 58.1992439 51.59926829 54.97446341 51.36787805 55.56917073 55.70439024
1977 45.78617073 19.2655122 57.65136585 51.8474878 58.83512195 52.23429268 55.4122439 51.54814634 56.13380488 56.21468293
1978 46.43656098 20.06492683 58.20397561 52.44378049 59.44509756 52.88719512 55.89260976 51.64119512 56.70795122 56.71534146
1979 47.17509756 23.02909756 58.78504878 53.05753659 60.01568293 53.5525122 56.41404878 51.63304878 57.28009756 57.20485366
1980 47.98839024 27.73897561 59.38802439 53.66831707 60.54436585 54.22634146 56.97307317 51.49919512 57.83363415 57.68295122
1981 48.8664878 33.44992683 60.00482927 54.25419512 61.03312195 54.90180488 57.56263415 51.21714634 58.34753659 58.14897561
1982 49.71926829 39.17431707 60.6055122 54.80468293 61.48143902 55.5675122 58.16719512 50.786 58.7997561 58.60246341
1983 50.40839024 44.1192439 61.14817073 55.31380488 61.88429268 56.20802439 58.76878049 50.21687805 59.16831707 59.03882927
1984 50.78063415 47.9234878 61.58395122 55.782 62.22719512 56.80885366 59.35243902 49.52690244 59.43673171 59.45131707
1985 50.45185366 50.43812195 61.85909756 56.25263415 62.50965854 57.37092683 59.91217073 48.73429268 59.59702439 59.83904878
1986 48.98963415 51.79046341 61.92531707 56.78856098 62.73519512 57.90314634 60.4495122 47.8587561 59.64873171 60.2045122
1987 46.30509756 52.47 61.75380488 57.40765854 62.88982927 58.39787805 60.95802439 46.93636585 59.59841463 60.5415122
1988 42.54792683 52.89519512 61.32263415 58.08695122 62.94563415 58.83204878 61.42380488 46.01068293 59.44968293 60.83687805
1989 38.04180488 53.20868293 60.61287805 58.76753659 62.86368293 59.16863415 61.82043902 45.12373171 59.19517073 61.07253659
1990 33.48512195 53.51007317 59.58307317 59.33109756 62.55658537 59.34519512 62.12007317 44.31246341 58.80204878 61.22495122
1991 29.74582927 53.83634146 58.19717073 59.63639024 61.9245122 59.29326829 62.29480488 43.60231707 58.22897561 61.26912195
1992 27.48365854 54.15078049 56.49197561 59.57765854 60.9384878 58.97746341 62.32517073 43.00460976 57.47353659 61.19
1993 27.07890244 54.4417561 54.53870732 59.09509756 59.61897561 58.38439024 62.19373171 42.53312195 56.55919512 60.97704878
1994 28.56812195 54.75021951 52.42212195 58.18029268 58.02739024 57.52214634 61.88797561 42.20721951 55.53395122 60.62619512
1995 31.6345122 55.12165854 50.239 56.83787805 56.23612195 56.39080488 61.37002439 42.03829268 54.45773171 60.09497561
1996 35.65919512 55.58602439 48.08763415 55.10692683 54.33612195 55.0045122 60.60546341 42.02480488 53.4 59.33639024
1997 39.80480488 56.14385366 46.06590244 53.1267561 52.47460976 53.4372439 59.61319512 42.15819512 52.43753659 58.37492683
1998 43.41519512 56.79160976 44.27258537 51.05507317 50.81234146 51.78943902 58.44302439 42.43290244 51.64258537 57.27746341
1999 46.22607317 57.52880488 42.7914878 49.02260976 49.4864878 50.15643902 57.15668293 42.85578049 51.07139024 56.13934146
2000 48.19236585 58.35087805 41.68943902 47.18297561 48.69363415 48.66407317 55.83687805 43.45668293 50.78517073 55.12070732
2001 49.50768293 59.24726829 40.99680488 45.67168293 48.61031707 47.43409756 54.57080488 44.2724878 50.82414634 54.40468293
2002 50.60480488 60.187 40.67914634 44.5434878 49.24341463 46.52331707 53.44119512 45.30665854 51.15965854 54.10509756
2003 51.81207317 61.13758537 40.7024878 43.8247561 50.5245122 45.95809756 52.5237561 46.53863415 51.74870732 54.27897561
2004 53.19763415 62.07360976 41.05934146 43.53346341 52.35631707 45.74534146 51.8737561 47.93239024 52.5522439 54.92346341
2005 54.75160976 62.96770732 41.75960976 43.65773171 54.55221951 45.86007317 51.55734146 49.42939024 53.51982927 55.97743902
2006 56.38665854 63.79558537 42.81070732 44.14834146 56.87326829 46.24136585 51.61370732 50.96660976 54.59109756 57.32487805
2007 57.946 64.55234146 44.1777561 44.88221951 59.07456098 46.77239024 51.9965122 52.47714634 55.69929268 58.78080488
2008 59.31534146 65.23497561 45.8044878 45.7392439 60.95858537 47.34582927 52.63602439 53.90563415 56.78468293 60.18407317
2009 60.46597561 65.84446341 47.62465854 46.63458537 62.41709756 47.8927561 53.46709756 55.21417073 57.80043902 61.44090244
2010 61.40178049 66.38565854 49.57465854 47.48341463 63.40229268 48.3457561 54.3907561 56.38385366 58.71860976 62.48029268
2011 62.15536585 66.87287805 51.60036585 48.2197561 63.95160976 48.66139024 55.29565854 57.42219512 59.53421951 63.27717073
2012 62.79936585 67.32887805 53.64307317 48.836 64.22273171 48.85063415 56.09831707 58.36331707 60.27278049 63.88114634
2013 63.39482927 67.77204878 55.633 49.33146341 64.36080488 48.93792683 56.73658537 59.23736585 60.95378049 64.34387805
2014 63.96565854 68.21229268 57.49831707 49.70058537 64.4292439 48.93473171 57.18212195 60.04704878 61.57636585 64.68019512
2015 64.52453659 68.65614634 59.16107317 49.96121951 64.48741463 48.87395122 57.44090244 60.78568293 62.13373171 64.91543902
