Year "High income" "Low income" "Lower middle income" "Upper middle income"
1960 68.16390244 37.77363415 46.51070732 58.74521951
1961 68.84414634 37.99814634 47.08809756 59.74836585
1962 68.89226829 38.21417073 47.68819512 60.40843902
1963 69.05407317 38.4632439 48.289 60.78239024
1964 69.38097561 38.62578049 48.92797561 61.13602439
1965 69.55539024 38.96909756 49.55980488 61.5065122
1966 69.83746341 39.37207317 50.29668293 61.87926829
1967 69.91780488 39.86856098 50.99612195 62.24770732
1968 69.95121951 40.41197561 51.45782927 62.60634146
1969 69.90485366 40.84792683 51.87990244 62.95068293
1970 69.98346341 41.30460976 52.47980488 63.11804878
1971 70.10443902 41.76121951 52.90368293 63.44317073
1972 70.46341463 42.19941463 53.4524878 63.86043902
1973 70.66341463 42.60429268 54.25541463 64.1204878
1974 71.01219512 42.96839024 54.63414634 64.36385366
1975 70.86731707 43.44873171 55.1327561 64.60134146
1976 71.17395122 43.97529268 55.57882927 64.85563415
1977 71.509 44.27319512 56.13380488 65.09907317
1978 71.83658537 44.86865854 56.3915122 65.54592683
1979 71.95285366 45.54202439 56.77534146 66.06302439
1980 72.30463415 46.30287805 57.0372439 66.56021951
1981 72.58780488 46.92831707 57.6327561 66.87895122
1982 72.68780488 47.74963415 58.08595122 66.98378049
1983 73.01219512 48.26158537 58.30139024 67.6287561
1984 73.2902439 48.13002439 58.39982927 67.29953659
1985 73.64090244 47.69060976 59.19397561 67.90778049
1986 73.89460976 47.90370732 59.64873171 68.49936585
1987 74.06331707 48.03012195 59.59841463 69.15192683
1988 74.39358537 48.37273171 59.64904878 68.84878049
1989 74.51560976 48.73702439 59.98817073 68.88029268
1990 74.788 49.01756098 60.35082927 68.99536585
1991 75.15780488 49.17492683 60.83458537 69.18209756
1992 75.19414634 49.27795122 61.29973171 69.33963415
1993 75.4195122 49.25341463 61.73729268 69.50921951
1994 75.73278049 49.27770732 62.13978049 69.5097561
1995 75.62195122 49.33836585 62.3874878 69.58878049
1996 76.02682927 49.46260976 62.62956098 69.74836585
1997 76.04634146 50.11985366 62.85990244 70.09173171
1998 76.57073171 50.69204878 63.06568293 70.26365854
1999 76.58292683 51.1492439 63.36363415 70.44214634
2000 76.68926829 51.24290244 63.69529268 70.58212195
2001 77.19870732 51.37202439 64.07482927 70.84904878
2002 77.63414634 51.92826829 64.36441463 71.08197561
2003 77.93297561 52.14531707 64.61409756 71.421
2004 78.28939024 53.19763415 65.11287805 71.78646341
2005 78.52439024 53.93685366 65.5534878 72.15726829
2006 78.72287805 54.65456098 65.93460976 72.43219512
2007 78.82439024 55.43343902 66.29309756 72.66341463
2008 78.92439024 56.00590244 66.88502439 72.90717073
2009 79.07317073 56.63060976 67.41665854 73.3097561
2010 79.38195122 57.28156098 67.78331707 73.45853659
2011 79.97073171 58.50012195 67.98141463 73.79165854
2012 80.12317073 59.12197561 68.10197561 73.92573171
2013 80.33914634 59.31202439 68.222 74.12243902
2014 80.7 59.65580488 68.344 74.40187805
2015 81.01219512 60.1207561 68.73960976 74.46585366
