Year "Latin America & Caribbean" "South Asia" "Sub-Saharan Africa" "Europe & Central Asia" "Middle East & North Africa" "East Asia & Pacific" "North America"
1960 59.81592683 41.17195122 39.97468293 68.44639024 48.03068293 55.9584878 71.13317073
1961 60.2495122 41.7904878 40.4572439 68.84414634 49.23163415 56.39273171 71.34609756
1962 60.647 42.41741463 40.93780488 68.97804878 50.41836585 56.81746341 71.36707317
1963 60.98582927 43.05273171 41.41490244 69.18570732 49.7147561 57.23217073 71.38073171
1964 61.52907317 43.69841463 41.89053659 69.41104878 50.142 57.63885366 71.77634146
1965 62.06207317 44.3535122 42.34439024 69.56102439 50.56487805 58.03602439 70.21463415
1966 62.58880488 45.0185122 42.84282927 69.82682927 54.88641463 58.42619512 72.00439024
1967 63.11182927 45.69092683 43.28002439 69.88165854 55.84880488 58.80834146 72.20780488
1968 63.6302439 46.3677561 43.46797561 69.98263415 56.71790244 59.42768293 72.35341463
1969 64.14163415 47.047 43.62743902 69.83317073 57.49234146 59.92514634 72.50146341
1970 64.63909756 47.52541463 43.84292683 69.93660976 58.18768293 59.9062439 70.80731707
1971 65.1147561 47.13858537 44.36736585 70.10443902 58.83058537 60.25239024 73.02926829
1972 65.44280488 47.03431707 44.47639024 70.20531707 59.44102439 60.95934146 72.93390244
1973 65.64695122 47.2955122 44.73736585 70.35817073 60.022 61.36897561 73.16268293
1974 65.87134146 47.93012195 45.11178049 70.52634146 60.56114634 61.5572439 73.23756098
1975 66.08680488 48.87080488 45.88141463 70.53192683 60.99614634 61.99426829 73.52170732
1976 66.32580488 49.98773171 46.60797561 70.53268293 61.48860976 63.04285366 73.85609756
1977 66.49926829 51.10568293 47.28141463 70.57341463 62.24802439 64.35197561 74.21560976
1978 66.75460976 52.08982927 47.89121951 70.60463415 62.9685122 64.83358537 74.5297561
1979 67.04836585 52.88729268 48.42441463 70.7495122 63.64946341 65.03658537 74.86634146
1980 67.37641463 53.48804878 48.9427561 70.48219512 64.28687805 65.18358537 73.6097561
1981 67.7255122 53.98253659 49.23180488 70.72219512 64.87421951 65.37760976 75.47853659
1982 68.07292683 54.74460976 49.71926829 70.83682927 65.41056098 66.00939024 75.6804878
1983 68.40302439 55.13234146 49.7057561 70.87868293 65.89841463 66.57263415 76.03634146
1984 68.70729268 55.49963415 49.65212195 70.90243902 66.34278049 67.10570732 76.31756098
1985 68.98234146 55.86090244 49.93468293 71.22804878 66.75414634 67.45187805 76.30341463
1986 69.23236585 56.2305122 49.83273171 71.69756098 67.21170732 67.79931707 76.44
1987 69.46507317 56.66858537 50.78834146 71.52682927 67.74817073 68.55943902 76.7395122
1988 69.68463415 57.23487805 50.18497561 71.64146341 68.24965854 68.65768293 76.80926829
1989 69.89002439 57.81565854 50.30412195 71.72243902 68.7212439 68.88029268 77.06560976
1990 70.07665854 58.41756098 49.97756098 71.64146341 68.82709756 69.06926829 77.37707317
1991 70.23743902 59.05026829 50.52734146 71.89829268 69.44556098 69.18209756 75.36585366
1992 70.36814634 59.71785366 51.71160976 71.79512195 69.99792683 69.33963415 77.32073171
1993 70.40943902 60.41880488 51.0675122 71.93585366 70.38595122 69.50921951 77.68512195
1994 70.65621951 61.14553659 51.55134146 72.3 70.7512439 69.69992683 77.86195122
1995 70.92692683 61.48529268 50.56785366 72.25365854 70.92573171 70.11926829 77.97756098
1996 71.1574878 61.74795122 50.9795122 72.65365854 71.09568293 70.19982927 78.2304878
1997 71.15529268 62.00856098 51.60934146 72.89809756 71.26356098 70.28239024 78.4804878
1998 71.19136585 62.26760976 51.05507317 73.36385366 71.45168293 70.36263415 78.66243902
1999 71.27617073 62.52314634 51.07139024 73.79339024 71.91039024 70.47556098 78.88292683
2000 71.42304878 62.77317073 50.87826829 74.26073171 72.35658537 70.49365854 77.88536585
2001 71.64280488 63.02219512 51.28070732 74.51292683 72.71663415 70.84904878 77.88536585
2002 71.92485366 63.68680488 51.76370732 74.71731707 72.87146341 71.03668293 78.08780488
2003 72.25473171 64.32043902 52.10678049 74.82436585 72.99460976 71.17543902 78.33414634
2004 72.61956098 64.92258537 52.76778049 75.5202439 73.09346341 71.31443902 78.48536585
2005 72.99907317 65.49429268 53.63829268 75.24463415 73.177 71.45334146 78.68536585
2006 73.36907317 66.03607317 54.59109756 75.83682927 73.25817073 71.59370732 78.88780488
2007 73.71185366 66.55192683 55.43343902 75.70560976 73.34507317 71.737 78.93414634
2008 74.01314634 67.04536585 56.00590244 75.91219512 73.4457561 71.88319512 79.23658537
2009 74.26604878 67.51839024 56.63060976 76.16829268 73.53417073 72.13068293 79.38843902
2010 73.67160976 67.9714878 57.28156098 76.47560976 73.80404878 72.417 79.28853659
2011 74.63570732 68.40663415 58.50012195 76.77560976 74.07 72.70126829 81.15268293
2012 74.21246341 68.82331707 59.12197561 76.74634146 74.32409756 72.98004878 81.56243902
2013 74.5147561 69.222 59.31202439 77.12682927 74.46968293 73.25039024 80.57243902
2014 75.04685366 69.60468293 60.04704878 77.60243902 74.58502439 73.51182927 80.79731707
2015 75.09812195 69.97334146 60.46768293 78.01446341 74.69790244 73.76487805 81.01219512
